Index,Source,P/C,,,,Count
1,(Photo by Chris Pizzello/Invision/AP) ,Professional - ap,,,,1
2,(Photo by Matt Sayles/Invision/AP) ,Professional - ap,,,,5
3,(Photo by Matt Sayles/Invision/AP),Professional - ap,,,,5
4,(Robert Gauthier/Los Angeles Times/TNS),Professional - tns,,,,2
5,(Gabriel Campanario / The Seattle Times),Professional - seattle times,,,,3
6,(James Holt / Seattle Symphony),                              ,,,,2
7,(Diana Cruz),                              ,,,,2
8,(Amanda Ray / Yakima Herald-Republic),Professional - yakima herald-republic,,,,2
9,(Adams County Sheriff’s Office),Professional - sherif,,,,2
10,(Franklin County Sheriff’s Office),Professional - sherif,,,,2
11,(Courtney Pedroza / The Seattle Times),Professional - seattle times,,,,7
12,(Rod Mar / The Seattle Times),Professional - seattle times,,,,3
13,(Armando Franca / Associated Press),Professional - press,,,,3
14,(Richard Shotwell / Invision / AP),Professional - ap,,,,3
15,(Courtesy of Keith Wright),                              ,,,,3
16,(Ken Lambert / The Seattle Times),Professional - seattle times,,,,93
17,(Alastair Grant / The Associated Press),Professional - press,,,,1
18,(Bettina Hansen / The Seattle Times),Professional - seattle times,,,,46
19,(Red Saxon / The Associated Press) ,Professional - press,,,,4
20,"(John Hayes / The Associated Press, file)",Professional - file,,,,4
21,(Matt Sayles / Invision / AP),Professional - ap,,,,4
22,(Erika Schultz / The Seattle Times),Professional - seattle times,,,,145
23,"(Thomas James Hurst / The Seattle Times, 2003)",Professional - seattle times,,,,4
24,No Image,                              ,,,,81
25,(Greg Gilbert / The Seattle Times),Professional - seattle times,,,,50
26,(Jennifer Buchanan / The Associated Press),Professional - press,,,,1
27,(photo courtesy Diana Ohashi).,                              ,,,,1
28,(Charles Krupa / The Associated Press),Professional - press,,,,1
29,(Greg Lehman / Walla Walla Union-Bulletin),Professional - walla walla union,,,,1
30,"(Courtesy of Dylan Hatfield)
",                              ,,,,1
31,(Courtesy of Hannah Hathaway Cassara) ,                              ,,,,1
32,(Courtesy of Dylan Hatfield),                              ,,,,6
33,(F/V Destination Memorial Fund),                              ,,,,1
34,(Coast Guard exhibit),Professional - coast guard,,,,1
35,(Alan Berner / The Seattle Times),Professional - seattle times,,,,76
36,"(CQ) reads fortunes for free on level 3 of the DownUnder of the Pike Place Market Saturday during the “Love in the Market” event, postponed from an earlier date because of snow.

Saturday Feb. 23, 2019 209414",                              ,,,,12
37,(Michael Perez / The Associated Press),Professional - press,,,,1
38,(David Zalubowski / AP),Professional - ap,,,,1
39,"(Scott Cohen/ Special to The Seattle Times)

 ",Professional - seattle times,,,,3
40,(Matt Slocum / AP),Professional - ap,,,,1
41,(Seattle Times Archives)  ,Professional - seattle times,,,,1
42,(Seattle Times Archives),Professional - seattle times,,,,5
43,(The Associated Press),Professional - press,,,,1
44,(Ron De Rosa / The Seattle Times),Professional - seattle times,,,,1
45,(Gary Settle / The Seattle Times),Professional - seattle times,,,,2
46,(Mike Siegel / The Seattle Times),Professional - seattle times,,,,84
47,(Dorin Ellis),                              ,,,,3
48,(Ellen M. Banner / The Seattle Times),Professional - seattle times,,,,92
49,(Courtesy Jamie Mann ),                              ,,,,2
50,"(AP Photo/Jeff Chiu, File)",Professional - file,,,,1
51,"(Frank Franklin II / The Associated Press, 2018)",Professional - press,,,,3
52,(Cliff Owen / The Associated Press),Professional - press,,,,1
53,(Dean Rutz / The Seattle Times),Professional - seattle times,,,,90
54,"(AP Photo/Keith Srakocic, File)",Professional - file,,,,2
55,(Vic Condiotty / The Seattle Times) ,Professional - seattle times,,,,4
56,(Vic Condiotty / The Seattle Times)  ,Professional - seattle times,,,,2
57,(Lufthansa Group),Professional - group,,,,2
58,(Pan Am Historical Foundation / PanAm.org),Professional - foundation,,,,2
59,(Boeing),                              ,,,,4
60,No Credit,                              ,,,,45
61,"(below viaduct) is being done Thursday, February 21, 2019.  Shot from Victor Streinbrueck Park in Seattle.  Demolition of the Alaskan Way Viaduct began recently and is expected to take six months to complete. 209400",                              ,,,,10
62,(AP Photo/Ted S. Warren),Professional - ap,,,,20
63,(AP),Professional - ap,,,,2
64,(Tony Dejak / The Associated Press),Professional - press,,,,1
65,(John Hefti / The Associated Press),Professional - press,,,,1
66,(Steve Ringman / The Seattle Times),Professional - seattle times,,,,68
67,(Brandon Wade / The Associated Press),Professional - press,,,,1
68,(Susan Walsh / The Associated Press),Professional - press,,,,1
69,(Photo courtesy of Bainbridge Organic Distillers) ,                              ,,,,1
70,(Courtesy of Rob Angel ),                              ,,,,1
71,(Tantri Wija),                              ,,,,1
72,(Steve Ringman/The Seattle Times),Professional - seattle times,,,,18
73,(Bebeto Matthews / AP),Professional - ap,,,,1
74,(National Enquirer via The Associated Press),Professional - press,,,,1
75,"(AP Photo/Kathy Willens, File)",Professional - file,,,,1
76,"(AP Photo/Cliff Owen, File)",Professional - file,,,,2
77,(Jeff Wheeler/Star Tribune via AP) ,Professional - ap,,,,2
78,(Doug Frerichs),                              ,,,,1
79,(Penguin Random House),                              ,,,,1
80,(Macmillan Publishers),Professional - macmillan,,,,1
81,"(Little, Brown)",Professional - company,,,,1
82,(HarperCollins),                              ,,,,1
83,(Krisztian Bocsi / Bloomberg),Professional - bloomberg,,,,1
84,(Mamta Popat/Arizona Daily Star via AP),Professional - ap,,,,1
85,(Crystal Paul / The Seattle Times),Professional - seattle times,,,,1
86,"(Jordan Stead / Amazon, file)",Professional - file,,,,1
87,(Federal detention memo),                              ,,,,3
88,(Elaine Thompson / The Associated Press),Professional - press,,,,4
89,(Paul Dorpat),                              ,,,,2
90,(Jean Sherrard),                              ,,,,1
91,(Courtesy of NOAA),Professional - noaa,,,,1
92,(Robin Lindsey),                              ,,,,1
93,"(AP Photo/Jon Elswick, File)",Professional - file,,,,1
94,(Aurore Marechal/Abaca Press/TNS)  ,Professional - tns,,,,1
95,(Courtesy of Greg Kucera Gallery),                              ,,,,1
96,(Courtesy of Anthony White / Mount Analogue),                              ,,,,1
97,(AP Photo / Paul Sancya),Professional - ap,,,,1
98,(Casey Curry / Invision / AP),Professional - ap,,,,1
99,(Courtesy of Jerry Gay),                              ,,,,4
100,(AP photo),Professional - ap,,,,1
101,"(AP Photo/Antonio Calanni, File)",Professional - file,,,,1
102,"(Alan Berner / The Seattle Times, 2014)",Professional - seattle times,,,,1
103,(Unicode Consortium via The New York Times) ,Professional - times,,,,1
104,"(AP Photo / Mark Lennihan, 2010)",Professional - ap,,,,2
105,(Bloomberg photo by SeongJoon Cho).,Professional - bloomberg,,,,1
106,(Trent Nelson / The Salt Lake Tribune),Professional - salt lake tribune,,,,1
107,(Dreamstime.com),Professional - co.,,,,1
108,(Junfu Han / Detroit Free Press / TNS),Professional - tns,,,,2
109,(Junfu Han / Detroit Free Press/ TNS),Professional - tns,,,,1
110,(Junfu Han/Detroit Free Press/TNS)  ,Professional - tns,,,,1
111,(Ksinan Peter / TNS),Professional - tns,,,,1
112,(Courtesy of Warner Bros. Pictures),Professional - warner bros,,,,2
113,(Nicholas K. Geranios / AP),Professional - ap,,,,2
114,"(AP Photo/Marcio Jose Sanchez, file)",Professional - file,,,,1
115,(Courtesy of World Central Kitchen).,                              ,,,,1
116,"(AP Photo/Noah Berger, file)",Professional - file,,,,1
117,(Johnny Milano/The New York Times),Professional - times,,,,1
118,"(Johnny Andrews / The Seattle Times, file) ",Professional - file,,,,1
119,"(Eric Risberg / The Associated Press, 2015)",Professional - press,,,,1
120,"(PEMCO Webster & Stevens Collection, Courtesy Museum of History & Industry)",Professional - museum,,,,5
121,(The Seattle Times Archives),Professional - seattle times,,,,1
122,(Courtesy Museum of History & Industry),Professional - museum,,,,2
123,"(Courtesy Seattle Municipal Archives, 12660)",Professional - archive,,,,1
124,(Studio 19 Photography),Professional - studio,,,,2
125,(Robert Nethery),                              ,,,,1
126,"(Ellen M. Banner / The Seattle Times, file)",Professional - file,,,,1
127,(Mark Nowlin / The Seattle Times),Professional - seattle times,,,,1
128,(Francisco Kjolseth / The Salt Lake Tribune),Professional - salt lake tribune,,,,1
129,(AP Photo/J. Scott Applewhite),Professional - ap,,,,5
130,(AP Photo/Andrew Harnik),Professional - ap,,,,4
131,(AP Photo/Gillian Flaccus),Professional - ap,,,,1
132,(AP Photo/Gillian Flaccus) ,Professional - ap,,,,1
133,(AP Photo/Marcio Jose Sanchez),Professional - ap,,,,4
134,(NIKE via AP),Professional - ap,,,,1
135,(Disneyland Resort via AP),Professional - ap,,,,2
136,(Courtney Pedroza/The Seattle Times),Professional - seattle times,,,,3
137,(Aerion ),Professional - aerion,,,,2
138,(Rebekah Welch / The Seattle Times),Professional - seattle times,,,,6
139,(Bloomberg photo by David Paul Morris).,Professional - bloomberg,,,,5
140,(Magnolia Pictures),                              ,,,,10
141,(Doug Mills/The New York Times),Professional - times,,,,4
142,(Erin Schaff/The New York Times),Professional - times,,,,4
143,(Sarah Silbiger/The New York Times),Professional - times,,,,7
144,(Tom Brenner/The New York Times),Professional - times,,,,2
145,"(AP Photo/Alex Brandon, File)",Professional - file,,,,2
146,(Courtesy of Trooper Johnna Batis / Washington State Patrol),Professional - state,,,,2
147,(AP Photo/Bullit Marquez),Professional - ap,,,,4
148,(AP Photo/Gemunu Amarasinghe),Professional - ap,,,,1
149,(AP Photo/Ahn Young-joon),Professional - ap,,,,1
150,(AP Photo/Mark Schiefelbein),Professional - ap,,,,2
151,(AP Photo/Thein Zaw),Professional - ap,,,,2
152,(J. Scott Applewhite / The Associated Press),Professional - press,,,,2
153,(Doug Mills / The Associated Press),Professional - press,,,,1
154,(Andrew Harnik / The Associated Press),Professional - press,,,,2
155,(Olivier Douliery / TNS),Professional - tns,,,,1
156,(Martin Mejia / The Associated Press),Professional - press,,,,1
157,(Anda Chu / Bay Area News Group),Professional - news,,,,1
158,(Megan Burbank / The Seattle Times),Professional - seattle times,,,,8
159,(Courtesy of Nick Power),                              ,,,,1
160,(Ted S. Warren/AP),Professional - ap,,,,1
161,(Courtesy of Attorney Nick Power),                              ,,,,1
162,"(AP Photo/David Goldman, File)",Professional - file,,,,2
163,(Elisa Murray / The Seattle Times),Professional - seattle times,,,,5
164,(Pamela Littky),Professional - fox,,,,1
165,"(Angela Sterling)

 ",                              ,,,,1
166,(Angela Sterling),                              ,,,,3
167,(Andrew Scrivani/The New York Times),Professional - times,,,,3
168,(AP Photo / Keith Srakocic),Professional - ap,,,,5
169,(San Juan District Court),                              ,,,,6
170,"(AP Photo/Pablo Martinez Monsivais, File)",Professional - file,,,,1
171,(Bloomberg photo by Pete Marovich).,Professional - bloomberg,,,,1
172,(Josh Haner/The New York Times)  ,Professional - times,,,,2
173,(Photo for The Washington Post by Adam Glanzman).,Professional - washington post,,,,2
174,(Washington Post photo by Adam Glanzman).,Professional - washington post,,,,1
175,"(Norman Kuring, NASA/GSFC/Suomi NPP via The New York Times) ",Professional - nasa,,,,1
176,(JSC/NASA via The New York Times) ,Professional - nasa,,,,1
177,(Lindsey Wasson / The Seattle Times),Professional - seattle times,,,,2
178,(Dave Sanders / The New York Times),Professional - times,,,,1
179,(Hiroko Masuike / The New York Times),Professional - times,,,,1
180,(Ramin Talaie / The New York Times) ,Professional - times,,,,2
181,(Jeff Layton / Special to The Seattle Times),Professional - seattle times,,,,6
182,(Katsnap Photography),                              ,,,,2
183,(Anheuser-Busch via AP),Professional - ap,,,,3
184,(Amazon via AP),Professional - ap,,,,3
185,(Stella Artois via AP),Professional - ap,,,,7
186,(Google via AP),Professional - ap,,,,1
187,(Microsoft via AP),Professional - ap,,,,1
188,"(Photo by Evan Agostini/Invision/AP, File)",Professional - file,,,,2
189,(AP Photo/Andrew Medichini),Professional - ap,,,,7
190,(AP Photo/Kamran Jebreili),Professional - ap,,,,3
191,"(MICHAEL PROBST / The Associated Press, file)",Professional - file,,,,1
192,(Sara A. Fajardo / Orlando Sentinel / MCT),Professional - orlando sentinel,,,,1
193,(Scott Dalton/The New York Times),Professional - times,,,,1
194,"(Rich Landers / The Associated Press, file)",Professional - file,,,,3
195,(Lauren Frohne / ),                              ,,,,1
196,(Jason Henry / The New York Times),Professional - times,,,,6
197,(David J. Phillip / The Associated Press),Professional - press,,,,1
198,(Kyusung Gong / The Associated Press),Professional - press,,,,1
199,(Matt Rourke / AP),Professional - ap,,,,1
200,(Mel Melcon / TNS),Professional - tns,,,,2
201,(Courtesy of Apple),Professional - apple,,,,5
202,(Everett Fire Department),Professional - department,,,,1
203,(The Seattle Times archive),Professional - seattle times,,,,10
204,(Vic Condiotty / The Seattle Times),Professional - seattle times,,,,4
205,(Larry Dion / The Seattle Times),Professional - seattle times,,,,2
206,(Mammoth Screen / Agatha Christie Limited),                              ,,,,1
207,(Trisha Krauss/The New York Times) ,Professional - times,,,,1
208,(AP Photo/David Goldman) ,Professional - ap,,,,1
209,(Credit: Vigor/BMT) ,                              ,,,,3
210,(Johannes Berg / Bloomberg),Professional - bloomberg,,,,2
211,"(Rebekah Welch / The Seattle Times, 2018) ",Professional - seattle times,,,,1
212,"(Mike Siegel / The Seattle Times, file)",Professional - file,,,,2
213,"(AP Photo/Evan Vucci, File)",Professional - file,,,,3
214,(Brandon Patoc),                              ,,,,1
215,(UW Athletics / ),Professional - athletics,,,,2
