Index,Source,P/C,,,,Count
1,(AP Photo/Alex Brandon),Professional - ap,,,,4
2,"(left) Will Ross, St. Louis County Executive Steve Stenger, St. Louis Mayor Lyda Krewson and Washington University Chancellor Mark Wrighton following an unveiling event for plans to merge the city and county held at the Cheshire hotel on Monday, Jan. 28, 2019. Photo by Robert Cohen, rcohen@post-dispatch.com",Professional - co.,,,,5
3,No Image,                              ,,,,62
4,Photo by SCCPD,                              ,,,,2
5,"Photo by David Carson, dcarson@post-dispatch.com",Professional - co.,,,,113
6,"Photo by David Carson, St. Louis Post-Dispatch",Professional - st. louis post-dispatch,,,,4
7,"Photo by Jesse Bogan, jbogan@post-dispatch.com",Professional - co.,,,,5
8,(Photo by Derrick Goold),                              ,,,,1
9,No Credit,                              ,,,,252
10,"(center), from St. Louis, takes part in the Cupid's Undie Run fundraiser for neurofibromatosis in downtown St. Louis on Saturday, Feb. 9, 2019. The ""brief"" run of about a mile featured 350 registered runners in various states of undress braving temperatures in the upper 20's. This year's event raised about $55,000 dollars for neurofibromatosis, a genetic tumor disorder that affects 1 in every 3,000 births. St. Louis Organizers of the run have raised $281,000 for the cause in the seven years the event has been held. Photo by David Carson, dcarson@post-dispatch.com",Professional - co.,,,,2
11,Photo by Jerry Naunheim Jr.,                              ,,,,2
12,Photo by Richard Pack,                              ,,,,2
13,Photo by Roberto Rodriguez,Professional - co.,,,,5
14,"Photo by Cristina Fletes, cfletes@post-dispatch.com",Professional - co.,,,,2
15,"Photo by Laurie Skrivan, lskrivan@post-dispatch.com",Professional - co.,,,,97
16,Photo by Michael Thomas,                              ,,,,2
17,"Photo by Christian Gooden, cgooden@post-dispatch.com",Professional - co.,,,,45
18,"Photo by Huy Mach, hmach@post-dispatch.com",Professional - co.,,,,14
19,"Photo by Hillary Levin, hlevin@post-dispatch",Professional - post-dispatch,,,,14
20,(Image via St. Louis County assessor).,Professional - county,,,,2
21,"Photo by Robert Cohen, rcohen@post-dispatch.com",Professional - co.,,,,115
22,"(left), the group's executive director, as plans were unveiled to merge the city and county during an event at the Cheshire hotel on Monday, Jan. 28, 2019. Photo by Robert Cohen, rcohen@post-dispatch.com",Professional - co.,,,,7
23,"Photo by J.B. Forbes, jforbes@post-dispatch.com",Professional - co.,,,,42
24,Photo courtesy of DDI Media.,Professional - media,,,,12
25,Photo courtesy of Carole Glauser.,                              ,,,,9
26,"Photo by Hillary Levin, hlevin@post-dispatch.com",Professional - co.,,,,27
27,(AP Photo/Jae C. Hong),Professional - ap,,,,1
28,"Photo by Colter Peterson, cpeterson@post-dispatch.com",Professional - co.,,,,27
29,"Photo by Chris Lee, clee@post-dispatch.com",Professional - co.,,,,30
30,"(38) at first base during a game between the St. Louis Cardinals and the Chicago Cubs at Wrigley Field in Chicago on Saturday, Sept. 29, 2018. Photo by David Carson, dcarson@post-dispatch.com",Professional - sept,,,,1
31,"Photo by Cristina M. Fletes, cfletes@post-dispatch.com.",Professional - co.,,,,13
32,"(left) and Keith Gonz, movers with A-Mrazek, wait to load bikes onto a truck as the St. Louis Cardinals pack up for spring training on Wednesday, Feb. 6, 2019 at Busch Stadium in downtown St. Louis. Photo by Cristina M. Fletes, cfletes@post-dispatch.com.",Professional - co.,,,,1
33,"(left) and John Conley, movers with A-Mrazek, load a bike onto a truck as the St. Louis Cardinals pack up for spring training on Wednesday, Feb. 6, 2019 at Busch Stadium in downtown St. Louis. Photo by Cristina M. Fletes, cfletes@post-dispatch.com.",Professional - co.,,,,1
34,Photo courtesy of the department,Professional - department,,,,15
35,"(left) hugs a colleague after the jury found Trenton Forster guilty of first degree murder and other counts on Friday, Feb. 8, 2019. At right is St. Louis County Prosecutor Wesley Bell. Photo by Laurie Skrivan, lskrivan@post-dispatch.com",Professional - co.,,,,4
36,(AP Photo/Nam Y. Huh),Professional - ap,,,,3
37,Photo by Dilip Vishwanat/SLSO,                              ,,,,2
38,(Photo by Richard Shotwell/Invision/AP),Professional - ap,,,,2
39,Photo by Jon Gitchoff,Professional - center,,,,46
40,(Photo by Theo Wargo/Getty Images for Jazz at Lincoln Center),Professional - getty,,,,2
41,(Photo by Linda Ryder),                              ,,,,2
42,(AP Photo),Professional - ap,,,,26
43,(Photo by Laurie Skrivan / lskrivan@post-dispatch.com),Professional - co.,,,,1
44,(Post-Dispatch photo by Laurie Skrivan),Professional - post-dispatch,,,,1
45,(Bill Greenblatt photo / UPI),Professional - upi,,,,1
46,(Post-Dispatch Archives),Professional - archive,,,,1
47,"Photo by Ian Froeb, ifroeb@post-dispatch.com",Professional - co.,,,,1
48,(Post-Dispatch photo by Chris Lee),Professional - post-dispatch,,,,6
49,(Post-Dispatch photo by Wendi Brown),Professional - post-dispatch,,,,2
50,(UPI photo from Post-Dispatch archives),Professional - upi,,,,2
51,(AP Photo/Jose Luis Magana),Professional - ap,,,,1
52,(Post-Dispatch photo by Colter Peterson),Professional - post-dispatch,,,,2
